DataBase Sheet (Manager) : https://docs.google.com/spreadsheets/d/1rqPLIFtqHWfkgOXIt27qm77dhEr7lsQ1gPu2oKqGiow/edit?gid=0#gid=0










Category	CategoryIcon	CategoryImage	ItemName	Price	ItemImage	Description																			
قطع كواليتي	fa-cookie-bite	Images/pieces.png	مانجو	90																					
قطع كواليتي	fa-cookie-bite	Images/pieces.png	بطيخ	50																					
قطع كواليتي	fa-cookie-bite	Images/pieces.png	فراولة	50																					
قطع كواليتي	fa-cookie-bite	Images/pieces.png	رمان حب	60																					
قطع كواليتي (إضافات)	fa-cookie-bite	Images/pieces.png	إضافة: لبن / عسل / فواكه	10																					
قطع كواليتي (إضافات)	fa-cookie-bite	Images/pieces.png	إضافة: ايس كريم + صوص	10																					
قطع كواليتي (إضافات)	fa-cookie-bite	Images/pieces.png	إضافة: كريم شانتي	10																					
قطع كواليتي (إضافات)	fa-cookie-bite	Images/pieces.png	إضافة: حليب مكثف	10																					
قطع كواليتي (إضافات)	fa-cookie-bite	Images/pieces.png	إضافة: لبن خالي من الدسم	متوفر																					
قطع كواليتي (إضافات)	fa-cookie-bite	Images/pieces.png	إضافة: سكر دايت	متوفر																					
زبادو	fa-blender	Images/zabado.png	زبادي لبن وعسل	M 40 | L 50																					
زبادو	fa-blender	Images/zabado.png	زبادي ملعقة واحدة	L 60																					
زبادو	fa-blender	Images/zabado.png	زبادي مانجو	L 70																					
زبادو	fa-blender	Images/zabado.png	زبادي خوخ	L 60																					
زبادو	fa-blender	Images/zabado.png	زبادي توت	L 80																					
زبادو	fa-blender	Images/zabado.png	زبادي رمان حب	L 80																					
زبادو	fa-blender	Images/zabado.png	زبادي كوكتيل	L 90																					
بوبا	fa-circle-dot	Images/booba.jpg	بوبا كوفي	80																					
بوبا	fa-circle-dot	Images/booba.jpg	بوبا فراولة	80																					
بوبا	fa-circle-dot	Images/booba.jpg	بوبا كراميل	80																					
بوبا	fa-circle-dot	Images/booba.jpg	بوبا بلوبيري	80																					
بوبا	fa-circle-dot	Images/booba.jpg	بوبا ماتشا	80																					
بوبا	fa-circle-dot	Images/booba.jpg	بوبا موهيتو	60																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	ليمون	M 25 | L 30																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	ليمون بالنعناع	M 25 | L 30																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	ليمون باللبن	M 30 | L 35																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	موز باللبن	M 40 | L 45																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	جوافة باللبن	M 40 | L 45																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	بلح باللبن	M 40 | L 45																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	فراولة	M 35 | L 40																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	أناناس	M 50 | L 60																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	كيوي	M 50 | L 60																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	بطيخ	M 35 | L 40																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	عنب	M 35 | L 40																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	كنتالوب	M 35 | L 40																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	برتقال	M 35 | L 40																					
